model,tahun,harga,transmisi,jarak_tempuh,bahan_bakar,pajak,mpg,ukuran_mesin,Kategori_Mesin
Honda Jazz,2017,255000000,1,37999,0,2000000,22.0,1.5,Kecil
Toyota Fortuner,2011,556,0,36100,1,4000000,29.5,2.0,Medium
Daihatsu Xenia,2015,218500000,0,25499,0,1500000,22.0,1.0,Kecil
Daihatsu Gran Max,2022,169000000,0,50584,0,3200000,22.0,1.5,Kecil
Suzuki Carry Futura,2016,150000000,0,18389,0,2000000,23.0,1.3,Kecil
Daihatsu Gran Max,2018,225000000,0,28321,0,3200000,22.0,1.5,Kecil
Toyota Avanza,2018,235000000,1,14000,0,3200000,23.0,1.3,Kecil
Mitsubishi L300,2022,224000000,0,21000,1,3200000,22.0,1.5,Kecil
Daihatsu Grand Max Delvan,2018,148000000,0,20219,0,2000000,25.0,1.3,Kecil
Isuzu Kijang Phanter,2016,287000000,0,8912,1,3200000,29.5,2.0,Medium
Toyota Avanza,2011,295000000,1,28335,0,2000000,23.0,1.3,Kecil
Toyota Hilux Single Cap,2017,208800000,0,10089,0,3800000,29.5,2.0,Medium
